         64022 function calls (56822 primitive calls) in 0.706 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       98    0.577    0.006    0.577    0.006 {method 'recv' of '_socket.socket' objects}
      374    0.015    0.000    0.015    0.000 {method 'write' of '_io.TextIOWrapper' objects}
15236/8036    0.009    0.000    0.017    0.000 encoder.py:333(_iterencode_dict)
      374    0.006    0.000    0.006    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
     7476    0.006    0.000    0.013    0.000 encoder.py:277(_iterencode_list)
       69    0.005    0.000    0.005    0.000 encoder.py:204(iterencode)
      187    0.005    0.000    0.012    0.000 __init__.py:284(__init__)
      561    0.005    0.000    0.019    0.000 __init__.py:914(format)
       98    0.005    0.000    0.005    0.000 {method 'sendall' of '_socket.socket' objects}
      187    0.004    0.000    0.020    0.000 handlers.py:175(shouldRollover)
      561    0.003    0.000    0.015    0.000 __init__.py:651(format)
     8036    0.003    0.000    0.020    0.000 encoder.py:413(_iterencode)
      187    0.003    0.000    0.003    0.000 {method 'seek' of '_io.TextIOWrapper' objects}
       69    0.003    0.000    0.028    0.000 encoder.py:182(encode)
      374    0.002    0.000    0.002    0.000 {built-in method time.localtime}
      187    0.002    0.000    0.014    0.000 __init__.py:1538(makeRecord)
      187    0.002    0.000    0.003    0.000 __init__.py:1502(findCaller)
      561    0.002    0.000    0.002    0.000 __init__.py:431(_format)
      374    0.002    0.000    0.034    0.000 __init__.py:1069(emit)
     6490    0.002    0.000    0.002    0.000 {built-in method builtins.isinstance}
      374    0.002    0.000    0.002    0.000 {built-in method time.strftime}
      187    0.002    0.000    0.078    0.000 __init__.py:1553(_log)
      374    0.002    0.000    0.009    0.000 __init__.py:1058(flush)
      374    0.001    0.000    0.058    0.000 __init__.py:937(handle)
      187    0.001    0.000    0.059    0.000 __init__.py:1633(callHandlers)
       84    0.001    0.000    0.004    0.000 Game.py:212(update_game_state)
      167    0.001    0.000    0.059    0.000 __init__.py:1424(info)
     1554    0.001    0.000    0.001    0.000 Character.py:26(display)
      748    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
      748    0.001    0.000    0.002    0.000 __init__.py:894(acquire)
      561    0.001    0.000    0.001    0.000 __init__.py:360(getMessage)
      374    0.001    0.000    0.005    0.000 __init__.py:584(formatTime)
      187    0.001    0.000    0.035    0.000 handlers.py:61(emit)
      187    0.001    0.000    0.002    0.000 posixpath.py:140(basename)
       16    0.001    0.000    0.166    0.010 Player.py:326(move)
       16    0.001    0.000    0.692    0.043 Player.py:20(play)
      187    0.001    0.000    0.001    0.000 {method 'tell' of '_io.TextIOWrapper' objects}
       32    0.001    0.000    0.217    0.007 Player.py:90(activate_power)
       49    0.001    0.000    0.012    0.000 utils.py:27(send_json_to_player)
       98    0.001    0.000    0.578    0.006 protocol.py:4(recvall)
      187    0.001    0.000    0.002    0.000 posixpath.py:117(splitext)
      561    0.001    0.000    0.001    0.000 __init__.py:423(usesTime)
     1960    0.001    0.000    0.001    0.000 {built-in method _json.encode_basestring_ascii}
       84    0.001    0.000    0.001    0.000 Game.py:216(<listcomp>)
      561    0.001    0.000    0.002    0.000 __init__.py:629(usesTime)
      561    0.001    0.000    0.001    0.000 {method 'rfind' of 'str' objects}
      749    0.001    0.000    0.001    0.000 {method 'acquire' of '_thread.RLock' objects}
       49    0.001    0.000    0.003    0.000 __init__.py:299(loads)
      187    0.001    0.000    0.001    0.000 genericpath.py:121(_splitext)
      561    0.001    0.000    0.001    0.000 {method 'find' of 'str' objects}
       49    0.001    0.000    0.581    0.012 utils.py:12(receive_json_from_player)
      561    0.001    0.000    0.003    0.000 __init__.py:635(formatMessage)
      561    0.001    0.000    0.001    0.000 __init__.py:792(filter)
      187    0.001    0.000    0.060    0.000 __init__.py:1579(handle)
      748    0.001    0.000    0.001    0.000 __init__.py:901(release)
      187    0.001    0.000    0.001    0.000 __init__.py:1677(isEnabledFor)
       69    0.001    0.000    0.029    0.000 __init__.py:183(dumps)
      187    0.001    0.000    0.001    0.000 {built-in method posix.getpid}
      187    0.000    0.000    0.014    0.000 __init__.py:1174(emit)
      561    0.000    0.000    0.002    0.000 __init__.py:434(format)
       49    0.000    0.000    0.578    0.012 protocol.py:15(receive_json)
      374    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
       16    0.000    0.000    0.260    0.016 Player.py:44(select)
       98    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
      187    0.000    0.000    0.000    0.000 threading.py:1306(current_thread)
       49    0.000    0.000    0.593    0.012 utils.py:40(ask_question_json)
       49    0.000    0.000    0.000    0.000 __init__.py:244(detect_encoding)
       49    0.000    0.000    0.001    0.000 decoder.py:332(decode)
       49    0.000    0.000    0.005    0.000 protocol.py:23(send_json)
      187    0.000    0.000    0.001    0.000 __init__.py:156(<lambda>)
       84    0.000    0.000    0.001    0.000 Game.py:219(<listcomp>)
      187    0.000    0.000    0.001    0.000 __init__.py:119(getLevelName)
       20    0.000    0.000    0.021    0.001 __init__.py:1412(debug)
      612    0.000    0.000    0.000    0.000 {built-in method builtins.len}
       49    0.000    0.000    0.000    0.000 decoder.py:343(raw_decode)
      187    0.000    0.000    0.000    0.000 posixpath.py:52(normcase)
      380    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
